global_index,pair_id,domain,scene,iteration,threshold,seed
1,1,tomato,1,1,0.0,3593399562
2,1,tomato,1,1,0.1,3593399562
3,1,tomato,1,1,0.2,3593399562
4,1,tomato,1,1,0.3,3593399562
5,1,tomato,1,1,0.4,3593399562
6,1,tomato,1,1,0.5,3593399562
7,1,tomato,1,1,0.6,3593399562
8,1,tomato,1,1,0.7,3593399562
9,1,tomato,1,1,0.8,3593399562
10,1,tomato,1,1,0.9,3593399562
11,1,tomato,1,1,1.0,3593399562
12,2,tomato,1,2,0.0,4152050728
13,2,tomato,1,2,0.1,4152050728
14,2,tomato,1,2,0.2,4152050728
15,2,tomato,1,2,0.3,4152050728
16,2,tomato,1,2,0.4,4152050728
17,2,tomato,1,2,0.5,4152050728
18,2,tomato,1,2,0.6,4152050728
19,2,tomato,1,2,0.7,4152050728
20,2,tomato,1,2,0.8,4152050728
21,2,tomato,1,2,0.9,4152050728
22,2,tomato,1,2,1.0,4152050728
23,3,tomato,1,3,0.0,569540187
24,3,tomato,1,3,0.1,569540187
25,3,tomato,1,3,0.2,569540187
26,3,tomato,1,3,0.3,569540187
27,3,tomato,1,3,0.4,569540187
28,3,tomato,1,3,0.5,569540187
29,3,tomato,1,3,0.6,569540187
30,3,tomato,1,3,0.7,569540187
31,3,tomato,1,3,0.8,569540187
32,3,tomato,1,3,0.9,569540187
33,3,tomato,1,3,1.0,569540187
34,4,tomato,1,4,0.0,1478249859
35,4,tomato,1,4,0.1,1478249859
36,4,tomato,1,4,0.2,1478249859
37,4,tomato,1,4,0.3,1478249859
38,4,tomato,1,4,0.4,1478249859
39,4,tomato,1,4,0.5,1478249859
40,4,tomato,1,4,0.6,1478249859
41,4,tomato,1,4,0.7,1478249859
42,4,tomato,1,4,0.8,1478249859
43,4,tomato,1,4,0.9,1478249859
44,4,tomato,1,4,1.0,1478249859
45,5,tomato,1,5,0.0,2351981716
46,5,tomato,1,5,0.1,2351981716
47,5,tomato,1,5,0.2,2351981716
48,5,tomato,1,5,0.3,2351981716
49,5,tomato,1,5,0.4,2351981716
50,5,tomato,1,5,0.5,2351981716
51,5,tomato,1,5,0.6,2351981716
52,5,tomato,1,5,0.7,2351981716
53,5,tomato,1,5,0.8,2351981716
54,5,tomato,1,5,0.9,2351981716
55,5,tomato,1,5,1.0,2351981716
56,6,tomato,1,6,0.0,4105704588
57,6,tomato,1,6,0.1,4105704588
58,6,tomato,1,6,0.2,4105704588
59,6,tomato,1,6,0.3,4105704588
60,6,tomato,1,6,0.4,4105704588
61,6,tomato,1,6,0.5,4105704588
62,6,tomato,1,6,0.6,4105704588
63,6,tomato,1,6,0.7,4105704588
64,6,tomato,1,6,0.8,4105704588
65,6,tomato,1,6,0.9,4105704588
66,6,tomato,1,6,1.0,4105704588
67,7,tomato,1,7,0.0,2004550425
68,7,tomato,1,7,0.1,2004550425
69,7,tomato,1,7,0.2,2004550425
70,7,tomato,1,7,0.3,2004550425
71,7,tomato,1,7,0.4,2004550425
72,7,tomato,1,7,0.5,2004550425
73,7,tomato,1,7,0.6,2004550425
74,7,tomato,1,7,0.7,2004550425
75,7,tomato,1,7,0.8,2004550425
76,7,tomato,1,7,0.9,2004550425
77,7,tomato,1,7,1.0,2004550425
78,8,tomato,1,8,0.0,3998857474
79,8,tomato,1,8,0.1,3998857474
80,8,tomato,1,8,0.2,3998857474
81,8,tomato,1,8,0.3,3998857474
82,8,tomato,1,8,0.4,3998857474
83,8,tomato,1,8,0.5,3998857474
84,8,tomato,1,8,0.6,3998857474
85,8,tomato,1,8,0.7,3998857474
86,8,tomato,1,8,0.8,3998857474
87,8,tomato,1,8,0.9,3998857474
88,8,tomato,1,8,1.0,3998857474
89,9,tomato,1,9,0.0,2296437748
90,9,tomato,1,9,0.1,2296437748
91,9,tomato,1,9,0.2,2296437748
92,9,tomato,1,9,0.3,2296437748
93,9,tomato,1,9,0.4,2296437748
94,9,tomato,1,9,0.5,2296437748
95,9,tomato,1,9,0.6,2296437748
96,9,tomato,1,9,0.7,2296437748
97,9,tomato,1,9,0.8,2296437748
98,9,tomato,1,9,0.9,2296437748
99,9,tomato,1,9,1.0,2296437748
100,10,tomato,1,10,0.0,4154980958
101,10,tomato,1,10,0.1,4154980958
102,10,tomato,1,10,0.2,4154980958
103,10,tomato,1,10,0.3,4154980958
104,10,tomato,1,10,0.4,4154980958
105,10,tomato,1,10,0.5,4154980958
106,10,tomato,1,10,0.6,4154980958
107,10,tomato,1,10,0.7,4154980958
108,10,tomato,1,10,0.8,4154980958
109,10,tomato,1,10,0.9,4154980958
110,10,tomato,1,10,1.0,4154980958
111,11,tomato,1,11,0.0,1879106387
112,11,tomato,1,11,0.1,1879106387
113,11,tomato,1,11,0.2,1879106387
114,11,tomato,1,11,0.3,1879106387
115,11,tomato,1,11,0.4,1879106387
116,11,tomato,1,11,0.5,1879106387
117,11,tomato,1,11,0.6,1879106387
118,11,tomato,1,11,0.7,1879106387
119,11,tomato,1,11,0.8,1879106387
120,11,tomato,1,11,0.9,1879106387
121,11,tomato,1,11,1.0,1879106387
122,12,tomato,1,12,0.0,2337904406
123,12,tomato,1,12,0.1,2337904406
124,12,tomato,1,12,0.2,2337904406
125,12,tomato,1,12,0.3,2337904406
126,12,tomato,1,12,0.4,2337904406
127,12,tomato,1,12,0.5,2337904406
128,12,tomato,1,12,0.6,2337904406
129,12,tomato,1,12,0.7,2337904406
130,12,tomato,1,12,0.8,2337904406
131,12,tomato,1,12,0.9,2337904406
132,12,tomato,1,12,1.0,2337904406
133,13,tomato,1,13,0.0,880111351
134,13,tomato,1,13,0.1,880111351
135,13,tomato,1,13,0.2,880111351
136,13,tomato,1,13,0.3,880111351
137,13,tomato,1,13,0.4,880111351
138,13,tomato,1,13,0.5,880111351
139,13,tomato,1,13,0.6,880111351
140,13,tomato,1,13,0.7,880111351
141,13,tomato,1,13,0.8,880111351
142,13,tomato,1,13,0.9,880111351
143,13,tomato,1,13,1.0,880111351
144,14,tomato,1,14,0.0,856078311
145,14,tomato,1,14,0.1,856078311
146,14,tomato,1,14,0.2,856078311
147,14,tomato,1,14,0.3,856078311
148,14,tomato,1,14,0.4,856078311
149,14,tomato,1,14,0.5,856078311
150,14,tomato,1,14,0.6,856078311
151,14,tomato,1,14,0.7,856078311
152,14,tomato,1,14,0.8,856078311
153,14,tomato,1,14,0.9,856078311
154,14,tomato,1,14,1.0,856078311
155,15,tomato,1,15,0.0,535421344
156,15,tomato,1,15,0.1,535421344
157,15,tomato,1,15,0.2,535421344
158,15,tomato,1,15,0.3,535421344
159,15,tomato,1,15,0.4,535421344
160,15,tomato,1,15,0.5,535421344
161,15,tomato,1,15,0.6,535421344
162,15,tomato,1,15,0.7,535421344
163,15,tomato,1,15,0.8,535421344
164,15,tomato,1,15,0.9,535421344
165,15,tomato,1,15,1.0,535421344
166,16,tomato,1,16,0.0,602502457
167,16,tomato,1,16,0.1,602502457
168,16,tomato,1,16,0.2,602502457
169,16,tomato,1,16,0.3,602502457
170,16,tomato,1,16,0.4,602502457
171,16,tomato,1,16,0.5,602502457
172,16,tomato,1,16,0.6,602502457
173,16,tomato,1,16,0.7,602502457
174,16,tomato,1,16,0.8,602502457
175,16,tomato,1,16,0.9,602502457
176,16,tomato,1,16,1.0,602502457
177,17,tomato,1,17,0.0,2621517829
178,17,tomato,1,17,0.1,2621517829
179,17,tomato,1,17,0.2,2621517829
180,17,tomato,1,17,0.3,2621517829
181,17,tomato,1,17,0.4,2621517829
182,17,tomato,1,17,0.5,2621517829
183,17,tomato,1,17,0.6,2621517829
184,17,tomato,1,17,0.7,2621517829
185,17,tomato,1,17,0.8,2621517829
186,17,tomato,1,17,0.9,2621517829
187,17,tomato,1,17,1.0,2621517829
188,18,tomato,1,18,0.0,1942069712
189,18,tomato,1,18,0.1,1942069712
190,18,tomato,1,18,0.2,1942069712
191,18,tomato,1,18,0.3,1942069712
192,18,tomato,1,18,0.4,1942069712
193,18,tomato,1,18,0.5,1942069712
194,18,tomato,1,18,0.6,1942069712
195,18,tomato,1,18,0.7,1942069712
196,18,tomato,1,18,0.8,1942069712
197,18,tomato,1,18,0.9,1942069712
198,18,tomato,1,18,1.0,1942069712
199,19,tomato,1,19,0.0,1141542374
200,19,tomato,1,19,0.1,1141542374
201,19,tomato,1,19,0.2,1141542374
202,19,tomato,1,19,0.3,1141542374
203,19,tomato,1,19,0.4,1141542374
204,19,tomato,1,19,0.5,1141542374
205,19,tomato,1,19,0.6,1141542374
206,19,tomato,1,19,0.7,1141542374
207,19,tomato,1,19,0.8,1141542374
208,19,tomato,1,19,0.9,1141542374
209,19,tomato,1,19,1.0,1141542374
210,20,tomato,1,20,0.0,1056577351
211,20,tomato,1,20,0.1,1056577351
212,20,tomato,1,20,0.2,1056577351
213,20,tomato,1,20,0.3,1056577351
214,20,tomato,1,20,0.4,1056577351
215,20,tomato,1,20,0.5,1056577351
216,20,tomato,1,20,0.6,1056577351
217,20,tomato,1,20,0.7,1056577351
218,20,tomato,1,20,0.8,1056577351
219,20,tomato,1,20,0.9,1056577351
220,20,tomato,1,20,1.0,1056577351
221,21,tomato,1,21,0.0,3632544374
222,21,tomato,1,21,0.1,3632544374
223,21,tomato,1,21,0.2,3632544374
224,21,tomato,1,21,0.3,3632544374
225,21,tomato,1,21,0.4,3632544374
226,21,tomato,1,21,0.5,3632544374
227,21,tomato,1,21,0.6,3632544374
228,21,tomato,1,21,0.7,3632544374
229,21,tomato,1,21,0.8,3632544374
230,21,tomato,1,21,0.9,3632544374
231,21,tomato,1,21,1.0,3632544374
232,22,tomato,1,22,0.0,2485637700
233,22,tomato,1,22,0.1,2485637700
234,22,tomato,1,22,0.2,2485637700
235,22,tomato,1,22,0.3,2485637700
236,22,tomato,1,22,0.4,2485637700
237,22,tomato,1,22,0.5,2485637700
238,22,tomato,1,22,0.6,2485637700
239,22,tomato,1,22,0.7,2485637700
240,22,tomato,1,22,0.8,2485637700
241,22,tomato,1,22,0.9,2485637700
242,22,tomato,1,22,1.0,2485637700
243,23,tomato,1,23,0.0,75199937
244,23,tomato,1,23,0.1,75199937
245,23,tomato,1,23,0.2,75199937
246,23,tomato,1,23,0.3,75199937
247,23,tomato,1,23,0.4,75199937
248,23,tomato,1,23,0.5,75199937
249,23,tomato,1,23,0.6,75199937
250,23,tomato,1,23,0.7,75199937
251,23,tomato,1,23,0.8,75199937
252,23,tomato,1,23,0.9,75199937
253,23,tomato,1,23,1.0,75199937
254,24,tomato,1,24,0.0,395394083
255,24,tomato,1,24,0.1,395394083
256,24,tomato,1,24,0.2,395394083
257,24,tomato,1,24,0.3,395394083
258,24,tomato,1,24,0.4,395394083
259,24,tomato,1,24,0.5,395394083
260,24,tomato,1,24,0.6,395394083
261,24,tomato,1,24,0.7,395394083
262,24,tomato,1,24,0.8,395394083
263,24,tomato,1,24,0.9,395394083
264,24,tomato,1,24,1.0,395394083
265,25,tomato,1,25,0.0,2691889787
266,25,tomato,1,25,0.1,2691889787
267,25,tomato,1,25,0.2,2691889787
268,25,tomato,1,25,0.3,2691889787
269,25,tomato,1,25,0.4,2691889787
270,25,tomato,1,25,0.5,2691889787
271,25,tomato,1,25,0.6,2691889787
272,25,tomato,1,25,0.7,2691889787
273,25,tomato,1,25,0.8,2691889787
274,25,tomato,1,25,0.9,2691889787
275,25,tomato,1,25,1.0,2691889787
276,26,tomato,1,26,0.0,800417014
277,26,tomato,1,26,0.1,800417014
278,26,tomato,1,26,0.2,800417014
279,26,tomato,1,26,0.3,800417014
280,26,tomato,1,26,0.4,800417014
281,26,tomato,1,26,0.5,800417014
282,26,tomato,1,26,0.6,800417014
